E_fst,E_fst_elstat,E_fst_VdW,E_fst_SP,group_size,type_of_complex_in_group,E_snd_SP,avg_E_fst,avg_E_snd_SP,E_third,alt_E_third,E_third_SP,avg_E_third,avg_alt_E_third,avg_E_third_SP,is_real
3759.19,683.6,15202.38,-245.81,15,middle,-159.59,3854.27,-112.06,-2818.45,0,-65.81,-2470.53,0,-70.57,No
3841.68,835.22,14882.89,-209.14,21,middle,-131.69,3915.56,-149.18,-2817.38,0,-128.27,-2424.35,0,-109.93,No
3721.55,886.81,13976.94,-275.47,26,middle,-78.14,4086.3,-45.47,-2813.86,-30.4,-91.24,-2592.3,0,-78.33,No
4298.3,1523.87,13618.25,-355.48,15,middle,-208.56,3986.87,-187.6,-2802.45,-58.61,-244.44,-2499.36,-48.53,-234.79,No
3769.94,875.65,14456.44,-21.02,23,border,0,3873.23,-3.91,-2790.15,0,0,-2201.3,0,0,No
3806.6,1683.43,10092.69,-732.45,19,border,-527.46,4120.88,-568.87,-2788.06,-63.05,-443.15,-2525.77,-68.63,-479.03,No
3808.12,1053.42,13582.05,-268.0,24,centroid,-150.79,4105.16,-145.06,-2773.99,-58.62,-134.17,-2714.87,-68.88,-105.48,No
4072.72,1494.21,12803.92,-124.05,17,centroid,-73.48,4072.62,-59.84,-2772.23,-54.55,-38.1,-2580.23,-64.95,-31.3,No
4348.11,1437.66,14145.34,-569.63,17,border,-343.7,4084.3,-438.84,-2751.27,-42.25,-288.78,-2527.09,-56.15,-358.71,No
3829.4,1080.57,13712.66,-44.09,20,middle,0,3917.03,0,-2738.92,-3.19,0,-2601.0,0,0,No
4007.84,1473.55,12130.88,-756.79,19,border,-515.15,3954.68,-428.08,-2737.2,-36.73,-473.14,-2592.47,-35.59,-445.37,No
3758.99,1498.56,11202.92,-138.88,15,centroid,-122.15,3874.17,-141.25,-2730.65,-85.65,-79.36,-2485.71,-60.21,-112.39,No
4030.35,1470.03,12471.78,-461.75,16,border,-273.95,3892.05,-199.51,-2716.48,0,-214.12,-2716.48,0,-214.12,No
3880.04,1133.49,13754.17,29.95,20,border,0,3854.95,0,-2715.95,-8.02,0,-2547.38,-4.1,0,No
3710.76,1236.38,12102.06,-377.74,29,border,-242.35,3886.73,-249.33,-2701.06,0,-242.03,-2460.34,0,-270.0,No
4018.76,2116.28,9208.13,-426.04,18,middle,-224.81,3832.84,-126.79,-2700.46,-128.62,-171.86,-2424.73,-66.02,-131.15,No
3717.51,271.75,17254.47,35.94,27,centroid,0,3789.95,0,-2698.91,-48.36,0,-2595.15,-32.82,0,No
3952.66,1150.35,13834.38,-248.07,15,centroid,-186.87,3879.59,-284.71,-2696.48,0,-145.18,-2476.88,0,-210.29,No
3936.94,511.35,16973.98,-215.56,39,centroid,-203.81,3883.71,-113.86,-2693.17,0,-148.03,-2638.18,0,-78.95,Yes
3926.78,382.35,17786.03,89.43,16,border,0,3957.6,0,-2683.41,-18.32,0,-2562.71,-69.84,0,No
4317.5,1114.21,15873.67,-199.94,40,middle,-28.47,4096.77,-55.85,-2672.78,0,-17.43,-2644.8,0,-30.15,No
3718.48,1459.22,11210.47,-120.13,24,border,-68.38,3968.3,-102.05,-2671.42,-82.83,-28.96,-2640.03,-75.02,-78.99,No
3856.64,1401.78,11932.2,-478.92,15,centroid,-382.18,3858.47,-370.15,-2669.92,0,-345.3,-2500.9,0,-322.52,No
3706.59,178.76,17593.87,-63.35,16,middle,-1.38,3888.26,0,-2661.22,-8.98,-5.48,-2402.88,0,0,No
4065.31,1798.85,10834.85,-696.4,16,middle,-521.11,4121.99,-526.8,-2657.67,-83.35,-414.6,-2247.54,-78.34,-448.56,No
4016.25,2020.53,9784.58,-271.6,16,centroid,-235.1,3968.29,-177.73,-2656.12,-78.31,-144.97,-2437.98,-51.02,-116.35,No
3922.22,1227.47,13259.93,-299.32,16,middle,-183.39,3817.94,-213.83,-2651.92,0,-151.63,-2368.01,0,-154.05,No
4039.18,3166.95,3745.41,-862.06,16,border,-682.07,3976.85,-633.97,-2640.08,-80.14,-490.48,-2360.63,-20.51,-455.93,No
4543.73,2220.49,11496.98,-166.89,28,centroid,-70.08,4142.43,-114.89,-2629.0,-90.11,-65.36,-2397.57,-65.36,-116.63,No
4409.97,1529.47,14380.03,-31.48,48,middle,0,4229.38,0,-2627.97,-166.55,0,-1440.06,-69.62,0,Yes
3875.41,1111.44,13523.16,-415.41,21,border,-319.04,3949.59,-186.56,-2627.37,-34.83,-253.22,0,0,-216.4,Yes
3713.66,1370.83,11498.96,-301.29,17,middle,-143.35,3934.03,-100.93,-2623.44,-11.53,-98.06,-2022.06,0,-93.11,No
3808.41,1011.49,13684.71,-419.84,31,centroid,-236.05,3870.82,-219.16,-2617.33,0,-203.67,-2484.39,0,-173.7,No
3757.66,1038.28,13290.47,-429.04,17,centroid,-280.71,3896.99,-288.53,-2609.87,-5.54,-253.23,-2361.88,0,-259.27,No
4204.8,445.25,18713.38,-118.15,16,border,-0.13,3981.14,-4.63,-2593.36,0,0,0,0,0,No
3915.59,429.96,17369.87,-81.58,17,border,-61.46,3937.0,-93.64,-2591.96,0,-3.89,-2526.63,0,-34.64,No
5019.36,1300.41,18511.23,-116.97,22,centroid,-41.97,4298.35,-45.4,-2584.85,-75.24,-147.25,-2294.7,-37.23,-139.39,Yes
3805.09,1701.25,10092.53,-597.34,18,middle,-380.4,3873.82,-385.18,-2581.1,-56.89,-327.2,-2386.82,-60.79,-344.16,No
4140.62,1099.73,15147.79,-79.32,20,middle,-63.41,3986.72,-17.57,-2577.8,-35.42,0,-2350.35,-7.13,0,No
3822.79,799.31,15046.22,-99.64,16,centroid,-6.43,3868.6,0,-2568.38,-8.93,-37.11,-2568.38,-8.93,-37.11,No
3774.41,1579.78,10754.45,-306.2,16,centroid,-146.88,3925.43,-134.55,-2563.08,-99.71,-127.84,-2456.5,-97.83,-77.87,No
4143.94,517.58,18314.06,255.18,15,middle,0,4044.58,0,-2562.43,-61.29,0,-2530.36,-58.58,0,No
3778.39,1680.14,10421.84,-97.15,24,border,0,4005.82,-10.19,-2529.05,-64.08,-13.68,-2389.12,-66.05,-35.79,No
3999.7,1152.66,14122.18,-158.23,15,centroid,-163.29,3885.86,-129.89,-2520.62,-147.93,-103.09,-2209.89,-81.36,-87.04,No
4532.64,925.58,17837.59,-276.75,27,centroid,-230.22,4179.1,-177.82,-2516.62,0,-177.34,-2290.66,0,-182.66,Yes
3821.23,1124.22,13172.47,-437.61,15,middle,-239.33,3983.66,-384.49,-2500.58,-46.14,-198.25,-2395.0,-46.3,-264.51,No
3719.74,846.15,14040.77,-458.04,26,border,-272.47,4004.7,-170.92,-2499.8,-47.53,-240.2,-2095.43,-22.42,-200.43,Yes
4870.29,2360.53,12104.5,-622.05,18,centroid,-462.65,4476.88,-450.93,-2484.59,-70.49,-448.24,-2291.2,-76.63,-427.51,No
3927.12,1107.64,13763.75,-467.07,15,centroid,-339.15,3933.49,-386.68,-2454.55,0,-210.36,-2298.12,0,-214.85,No
4525.76,1378.59,15434.09,-422.47,35,centroid,-169.14,4173.48,-134.53,-2443.65,-2.74,-156.37,-2309.1,-1.04,-123.26,No
4064.55,768.51,16386.64,-130.99,16,middle,-40.22,3976.64,-26.74,-2413.77,0,-2.57,-2332.96,0,-8.01,No
4366.97,2269.94,10116.43,-516.22,18,middle,-363.03,4340.97,-278.33,-2411.82,-104.4,-309.73,-2249.22,-84.53,-265.79,No
3703.17,2090.11,7781.69,-397.08,15,middle,-163.26,3909.61,-151.12,-2405.09,-70.49,-163.03,-2276.27,-89.29,-179.28,No
3934.88,1809.12,10479.53,-208.99,20,border,-144.31,3903.27,-62.81,-2390.09,-70.82,-100.12,-2390.09,-70.82,-100.12,No
3997.89,1006.11,14806.0,-214.08,28,centroid,-96.58,4003.53,-139.87,-2354.55,0,-78.67,-2307.79,-3.88,-140.07,No
4045.28,440.33,17765.81,-362.52,18,border,-187.09,3939.7,-210.65,-2353.66,0,-181.14,-2275.59,0,-192.54,Yes
3850.62,1415.87,12118.75,-76.95,15,border,-63.01,3970.25,-107.97,-2244.62,-30.24,0,-2189.96,-55.17,-57.27,No
3922.08,1147.57,13974.86,143.22,28,centroid,0,4088.5,0,-2239.55,-56.09,0,-2239.55,-56.09,0,Yes
